circle size, answer
5,2
6,3
7,5
8,7
9,9
10,1
11,2
12,3
13,4
14,5
15,6
16,7
17,8
18,9
19,11
20,13
21,15
22,17
23,19
24,21
25,23
26,25
27,27
28,1
29,2
30,3
31,4
32,5
33,6
34,7
35,8
36,9
37,10
38,11
39,12
40,13
41,14
42,15
43,16
44,17
45,18
46,19
47,20
48,21
49,22
50,23
51,24
52,25
53,26
54,27
55,29
56,31
57,33
58,35
59,37
60,39
61,41
62,43
63,45
64,47
65,49
66,51
67,53
68,55
69,57
70,59
71,61
72,63
73,65
74,67
75,69
76,71
77,73
78,75
79,77
80,79
81,81
82,1
83,2
84,3
85,4
86,5
87,6
88,7
89,8
90,9
91,10
92,11
93,12
94,13
95,14
96,15
97,16
98,17
99,18
100,19
101,20
102,21
103,22
104,23
105,24
106,25
107,26
108,27
109,28
110,29
111,30
112,31
113,32
114,33
115,34
116,35
117,36
118,37
119,38
120,39
121,40
122,41
123,42
124,43
125,44
126,45
127,46
128,47
129,48
130,49
131,50
132,51
133,52
134,53
135,54
136,55
137,56
138,57
139,58
140,59
141,60
142,61
143,62
144,63
145,64
146,65
147,66
148,67
149,68
150,69
151,70
152,71
153,72
154,73
155,74
156,75
157,76
158,77
159,78
160,79
161,80
162,81
163,83
164,85
165,87
166,89
167,91
168,93
169,95
170,97
171,99
172,101
173,103
174,105
175,107
176,109
177,111
178,113
179,115
180,117
181,119
182,121
183,123
184,125
185,127
186,129
187,131
188,133
189,135
190,137
191,139
192,141
193,143
194,145
195,147
196,149
197,151
198,153
199,155
200,157
201,159
202,161
203,163
204,165
205,167
206,169
207,171
208,173
209,175
210,177
211,179
212,181
213,183
214,185
215,187
216,189
217,191
218,193
219,195
220,197
221,199
222,201
223,203
224,205
225,207
226,209
227,211
228,213
229,215
230,217
231,219
232,221
233,223
234,225
235,227
236,229
237,231
238,233
239,235
240,237
241,239
242,241
243,243
244,1
245,2
246,3
247,4
248,5
249,6
250,7
